,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
94513,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.12,10024.64,21/09/2019 15:30,1569079799999,9902.0,1569114899999,0,-1.12
94515,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.72,8119.61,04/10/2019 07:45,1570175099999,7889.64,1570345199999,0,-1.72
94523,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.13,8172.73,16/10/2019 01:15,1571188499999,8010.64,1571226299999,0,-1.13
94540,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,2.75,9415.18,29/10/2019 04:30,1572323399999,9070.0,1572378299999,0,-2.75
94542,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.21,9116.16,30/10/2019 17:45,1572457499999,8933.0,1572516899999,0,-1.21
94544,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.06,9170.0,03/11/2019 22:30,1572820199999,9550.0,1572899399999,1,2.0
94549,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.78,8827.2,08/11/2019 19:30,1573241399999,9187.0,1573403399999,1,2.0
94552,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,4.95,7114.87,22/11/2019 16:00,1574438399999,7299.21,1574450099999,1,2.0
94554,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.11,7527.62,30/11/2019 21:45,1575150299999,7410.0,1575162899999,0,-1.11
181467,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,1.18,151.44,30/11/2019 21:45,1575150299999,148.6,1575162899999,0,-1.18
94556,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,3.21,7309.0,05/12/2019 05:45,1575524699999,7471.59,1575548999999,1,2.0
181469,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,1.3,145.67,05/12/2019 05:45,1575524699999,148.88,1575548999999,1,2.0
181476,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,2.26,142.26,12/12/2019 06:00,1576130399999,145.48,1576177199999,1,2.0
94561,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.1,7085.83,14/12/2019 23:00,1576364399999,7004.77,1576370699999,0,-1.1
181482,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,3.37,124.29,18/12/2019 01:00,1576630799999,119.7,1576673999999,0,-3.37
94565,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.52,6657.74,18/12/2019 01:15,1576631699999,6544.0,1576672199999,0,-1.52
94573,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.76,7354.57,24/12/2019 09:15,1577178899999,7210.0,1577204099999,0,-1.76
181490,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,1.19,124.48,25/12/2019 18:45,1577299499999,128.34,1577378699999,1,2.0
94585,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence_above_ema21,2,1.28,6952.58,03/01/2020 03:00,1578020399999,7300.0,1578026699999,1,2.0
72933,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bullish_divergence_above_ema21,2,1.92,195.8,03/01/2020 03:15,1578021299999,204.0,1578026699999,1,2.0
181500,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence_above_ema21,2,1.33,127.48,03/01/2020 04:30,1578025799999,130.18,1578027599999,1,2.0
272557,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bullish_divergence_above_ema21,2,3.01,59.76,18/01/2020 20:00,1579377599999,62.7,1579396499999,1,2.0
173034,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bullish_divergence_above_ema21,2,2.35,3.575,19/01/2020 21:45,1579470299999,3.488,1579472999999,0,-2.35
